phase	step	pos	tok	label	n	min	max	mean	l2	values
ssm	1	0	44883	deltanet	6144	-0.00139094179	0.00609824248	4.56890076e-06	0.0108168896	2.97323804e-05,-3.30374746e-06,1.53817618e-05,5.59940281e-06,0.000326980604,-7.54256405e-07,1.94997369e-06,-0.000394371076,4.51079795e-05,-2.48412198e-06,1.42521285e-05,2.68604308e-05,1.48606955e-06,1.488407e-05,-1.6187056e-06,-1.26693863e-06
ssm	1	0	44883	gate	6144	-0.278460085	2.8086226	0.0668944298	25.8561042	0.344030172,0.0281738956,1.05114031,-0.121577293,0.0384785421,0.405749589,-0.0236781873,-0.277376056,0.201807946,0.338309467,-0.116124257,0.684313893,0.318984866,-0.0237749014,0.0511400141,-0.116831593
ssm	1	0	44883	rms_gated	6144	-0.381740838	0.300379843	-0.000144358748	1.02704934	0.00890384708,-8.10224155e-05,0.0142608453,-0.000589956122,0.0107096657,-0.000272290257,-3.87682958e-05,0.0707825646,0.00788891315,-0.00072183006,-0.00140238868,0.016566366,0.000419933058,-0.00030939217,-7.11011453e-05,0.000129415042
ssm	1	0	44883	ssm_out	5120	-0.280622125	3.8762753	0.000772752432	3.9934736	-0.0176853035,-0.00157128181,0.006437873,0.00121920416,0.0154489474,0.0203642622,-0.0185791366,-0.0124202194,0.00905050803,-0.00612895936,-0.0095822271,-0.0315380022,-0.00239462405,-0.0007746052,-0.00932899863,0.00753828418
ssm	1	0	44883	layer_out	5120	-0.960129023	18.9603157	0.00273377832	19.466399	-0.0841935501,0.0557470061,-0.0139194559,0.0622030906,-0.113638021,-0.0661503449,-0.0478950739,-0.112352349,0.128732964,0.0491386056,-0.00960733462,-0.0346364975,-0.0458228327,-0.080868423,-0.00407285616,0.0212680586
ssm	1	0	44883	post_norm	5120	-1.65431166	1.42136908	-0.0026315916	13.1355221	-0.253261596,0.167091563,-0.0435198024,0.192247897,-0.338161916,-0.208009273,-0.146823376,-0.340788841,0.384467453,0.153104886,-0.0286583006,-0.107422248,-0.141457781,-0.249645606,-0.0110234339,0.0658084452
ssm	1	0	44883	ffn_gate	17408	-1.35342991	1.32977676	-0.0342083199	24.7394558	0.264045447,-0.200850517,0.0181124657,0.0281441286,-0.235041946,0.210935012,-0.188729897,-0.0386971906,-0.0121338591,-0.12222717,-0.0522381105,-0.158691883,0.00999610685,0.058581572,-0.0331781358,-0.13884522
ssm	1	0	44883	ffn_up	17408	-2.38938713	1.43050826	-0.0027909668	21.9031448	0.0323319696,-0.139064491,-0.218790621,-0.0149444528,-0.0353730693,-0.194492459,-0.33144033,-0.087344408,0.220231056,0.0126613863,-0.124262571,-0.153299376,0.138898745,0.130913213,0.119326413,0.206353709
ssm	1	0	44883	ffn_mul	17408	-0.394661456	0.303603619	-0.000223992717	2.1786952	0.00433755387,0.0129960906,-0.00176552136,-0.000208727943,0.00408356125,-0.0185241215,0.0261401609,0.00161623291,-0.00148266286,-0.000778681191,0.00304422528,0.0112331621,0.00074235932,0.00408518966,-0.00209747837,-0.0157984626
ssm	1	0	44883	ffn_down	5120	-0.179691076	0.284645706	5.84695366e-05	2.10625438	0.000637971796,0.00220610853,-0.00575820077,0.0151391355,-0.0247299224,-0.0423657522,-0.00143625867,0.00297962688,0.0280554593,0.00617095642,0.0237152018,-0.00760563603,-0.0422934145,0.0103525296,-0.00794997066,0.0193746481
